questionId,answer,createdAt
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:47.268Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:47.387Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:47.499Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:47.603Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:47.733Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:47.843Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:47.944Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:48.080Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:48.185Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:48.300Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:48.416Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:48.550Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:48.651Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:48.766Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:48.867Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:48.979Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:49.099Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:49.211Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:49.414Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:49.584Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:49.693Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:49.800Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:49.921Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:50.055Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:50.169Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:50.277Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:50.389Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:50.508Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:50.614Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:50.718Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:50.868Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:51.018Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:51.177Z
vGwicGHu2J6ojttpE,B,2016-10-06T18:54:51.322Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:51.432Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:51.569Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:51.682Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:51.808Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:51.952Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:52.103Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:52.248Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:52.349Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:52.468Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:52.578Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:52.721Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:52.829Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:52.946Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:53.052Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:54:53.182Z
vGwicGHu2J6ojttpE,B,2016-10-06T18:56:41.729Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:56:42.348Z
vGwicGHu2J6ojttpE,B,2016-10-06T18:56:46.685Z
vGwicGHu2J6ojttpE,B,2016-10-06T18:56:50.292Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:56:51.260Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:56:51.958Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:56:52.549Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:56:54.124Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:56:55.440Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:56:56.877Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:56:57.968Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:56:58.339Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:57:00.304Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:57:00.700Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:57:01.669Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:57:01.974Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:57:02.883Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:57:03.118Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:57:03.394Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:57:03.634Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:57:03.900Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:57:04.196Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:57:04.499Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:57:04.814Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:57:05.090Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:57:05.385Z
vGwicGHu2J6ojttpE,B,2016-10-06T18:57:07.575Z
vGwicGHu2J6ojttpE,B,2016-10-06T18:57:07.864Z
vGwicGHu2J6ojttpE,B,2016-10-06T18:57:08.124Z
vGwicGHu2J6ojttpE,B,2016-10-06T18:57:08.382Z
vGwicGHu2J6ojttpE,B,2016-10-06T18:57:08.622Z
vGwicGHu2J6ojttpE,B,2016-10-06T18:57:08.890Z
vGwicGHu2J6ojttpE,B,2016-10-06T18:57:09.127Z
vGwicGHu2J6ojttpE,B,2016-10-06T18:57:09.367Z
vGwicGHu2J6ojttpE,B,2016-10-06T18:57:09.591Z
vGwicGHu2J6ojttpE,B,2016-10-06T18:57:09.883Z
vGwicGHu2J6ojttpE,B,2016-10-06T18:57:10.114Z
vGwicGHu2J6ojttpE,B,2016-10-06T18:57:10.376Z
vGwicGHu2J6ojttpE,B,2016-10-06T18:57:10.609Z
vGwicGHu2J6ojttpE,B,2016-10-06T18:57:10.867Z
vGwicGHu2J6ojttpE,B,2016-10-06T18:57:11.115Z
vGwicGHu2J6ojttpE,B,2016-10-06T18:57:11.357Z
vGwicGHu2J6ojttpE,B,2016-10-06T18:57:13.756Z
vGwicGHu2J6ojttpE,B,2016-10-06T18:57:13.808Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:57:13.920Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:57:13.997Z
vGwicGHu2J6ojttpE,B,2016-10-06T18:57:14.099Z
vGwicGHu2J6ojttpE,B,2016-10-06T18:57:14.201Z
vGwicGHu2J6ojttpE,B,2016-10-06T18:57:14.419Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:57:14.796Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:57:36.526Z
vGwicGHu2J6ojttpE,B,2016-10-06T18:57:36.626Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:58:00.234Z
vGwicGHu2J6ojttpE,B,2016-10-06T18:58:00.348Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:59:00.489Z
vGwicGHu2J6ojttpE,B,2016-10-06T18:59:00.996Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:59:17.708Z
vGwicGHu2J6ojttpE,A,2016-10-06T18:59:21.731Z
vGwicGHu2J6ojttpE,B,2016-10-06T18:59:24.582Z
vGwicGHu2J6ojttpE,B,2016-10-06T18:59:25.987Z
vGwicGHu2J6ojttpE,B,2016-10-06T18:59:26.975Z
vGwicGHu2J6ojttpE,B,2016-10-06T18:59:28.660Z
vGwicGHu2J6ojttpE,A,2016-10-06T19:00:46.719Z
vGwicGHu2J6ojttpE,B,2016-10-06T19:00:46.863Z
vGwicGHu2J6ojttpE,A,2016-10-06T19:00:54.244Z
vGwicGHu2J6ojttpE,A,2016-10-06T19:00:55.795Z
vGwicGHu2J6ojttpE,A,2016-10-06T19:00:57.974Z
vGwicGHu2J6ojttpE,A,2016-10-06T19:01:10.274Z
vGwicGHu2J6ojttpE,A,2016-10-06T19:01:11.073Z
vGwicGHu2J6ojttpE,A,2016-10-06T19:01:11.233Z
vGwicGHu2J6ojttpE,A,2016-10-06T19:01:13.552Z
vGwicGHu2J6ojttpE,A,2016-10-06T19:01:20.019Z
vGwicGHu2J6ojttpE,B,2016-10-06T19:01:23.641Z
gmbgFbMybT8odQSgy,A,2016-10-06T19:31:16.476Z
gmbgFbMybT8odQSgy,B,2016-10-06T19:31:16.546Z
gmbgFbMybT8odQSgy,A,2016-10-06T19:31:22.486Z
gmbgFbMybT8odQSgy,A,2016-10-06T19:31:23.791Z
gmbgFbMybT8odQSgy,B,2016-10-06T19:31:32.048Z
gmbgFbMybT8odQSgy,A,2016-10-06T19:32:17.841Z
gmbgFbMybT8odQSgy,B,2016-10-06T19:32:18.220Z
gmbgFbMybT8odQSgy,A,2016-10-06T19:32:52.193Z
gmbgFbMybT8odQSgy,A,2016-10-06T19:32:52.643Z
gmbgFbMybT8odQSgy,B,2016-10-06T19:33:04.877Z
gmbgFbMybT8odQSgy,A,2016-10-06T19:33:10.074Z
7bpFZzN4SDWwtTTtv,A,2016-10-06T19:33:36.935Z
7bpFZzN4SDWwtTTtv,B,2016-10-06T19:33:38.419Z
7bpFZzN4SDWwtTTtv,B,2016-10-06T19:33:39.702Z
7bpFZzN4SDWwtTTtv,A,2016-10-06T19:40:09.946Z
7bpFZzN4SDWwtTTtv,A,2016-10-06T19:40:10.342Z
7bpFZzN4SDWwtTTtv,B,2016-10-06T19:40:13.249Z
7bpFZzN4SDWwtTTtv,A,2016-10-06T19:40:30.054Z
7bpFZzN4SDWwtTTtv,A,2016-10-06T19:40:33.747Z
7bpFZzN4SDWwtTTtv,A,2016-10-06T19:40:40.150Z
7bpFZzN4SDWwtTTtv,B,2016-10-06T19:40:41.435Z
7bpFZzN4SDWwtTTtv,B,2016-10-06T19:40:44.448Z
7bpFZzN4SDWwtTTtv,B,2016-10-06T19:41:39.745Z
7bpFZzN4SDWwtTTtv,B,2016-10-06T19:41:39.849Z
7bpFZzN4SDWwtTTtv,A,2016-10-06T19:41:57.119Z
7bpFZzN4SDWwtTTtv,A,2016-10-06T19:42:58.988Z
7bpFZzN4SDWwtTTtv,A,2016-10-06T19:43:00.811Z
7bpFZzN4SDWwtTTtv,A,2016-10-06T19:43:13.424Z
7bpFZzN4SDWwtTTtv,A,2016-10-06T19:43:13.556Z
7bpFZzN4SDWwtTTtv,A,2016-10-06T19:43:21.786Z
