questionId,location,totalCount,totalDuration,avgInterval
qNNjkg4KBt6RxuuoR,maker faire,320,14431.998,45.2413730408
88hYnvneC8Wty2yqk,market street,181,114630.999,636.838883333
b7vqhek5JJa6mEDdm,market street,1,0.0,None
qT7CCabdjnyNx7D8t,asian art museum,23,930.342,42.2882727273
qCHiu2fA8Qa5skKZj,chi 2017,19,737.659,40.9810555556
qCHiu2fA8Qa5skKZj,asian art museum,18,455.889,26.817
qT7CCabdjnyNx7D8t,market street,164,17771.131,109.025343558
9fYMqjMAJsbjGvYne,market street,111,14780.6,134.369090909
B4jDTkB3bj28hoKzN,maker faire,355,20042.775,56.6180084746
bEEerWynEfZbKncmA,asian art museum,7,64.637,10.7728333333
XkCS7aPMZZCpGZSFS,chi 2017,9,330.644,41.3305
Ce3GTajiyJuJYhw2q,maker faire,244,12869.573,52.9612057613
ZJQxkgxM4Fh6grBLj,asian art museum,42,654.551,15.9646585366
k45tMC8i5fksz5qYa,chi 2017,62,1376.215,22.5609016393
dc7wjni3MG44XSTib,maker faire,109,4903.187,45.3998796296
DZXsQJTtvioy5HiiP,asian art museum,29,871.095,31.1105357143
7bpFZzN4SDWwtTTtv,asian art museum,3,281.041,140.5205
YeHrurDLdJZqyhPBK,maker faire,217,9448.635,43.7436805556
LeaSt4mdpmC6npnHG,market street,56,7116.984,129.399709091
w3FPzq2TfH5h6zj2A,maker faire,297,15289.596,51.6540405405
63wNvoJXnmFacbomd,asian art museum,13,366.281,30.5234166667
ZZPFXMbDbPT3iXGvn,market street,335,63442.734,189.948305389
Y9v6N4aDKfPY7XPec,asian art museum,13,224.923,18.7435833333
p8fxzcbuRfgToCiKt,chi 2017,188,9668.648,51.704
rj3vKeeTrxoGbLC7Y,asian art museum,23,994.694,45.2133636364
FHQ5hH6A2jnshZ9S8,asian art museum,9,156.895,19.611875
tQRrMsXECakknkKDj,chi 2017,8,143.249,20.4641428571
ZJxSzJph2LE6inHwg,chi 2017,12,253.983,23.0893636364
sX6s2eEDZzuqH2eb8,asian art museum,19,490.314,27.2396666667
gmbgFbMybT8odQSgy,maker faire,170,7323.103,43.3319704142
ZJxSzJph2LE6inHwg,asian art museum,10,353.902,39.3224444444
b7vqhek5JJa6mEDdm,maker faire,185,8002.467,43.4916684783
ZJQxkgxM4Fh6grBLj,chi 2017,15,392.723,28.0516428571
t6aqneCpg4wNCJQ7w,market street,86,10945.797,128.774082353
7CwNGdoXD94vyibNv,asian art museum,3,37.612,18.806
FHQ5hH6A2jnshZ9S8,maker faire,84,3692.555,44.4886144578
DBZgk7QyHvytNc74m,market street,110,27174.271,249.305238532
FtJ7ffv4XJbKQjzuh,chi 2017,5,79.86,19.965
2sYqAzwNQEjNi3ikk,asian art museum,14,188.192,14.4763076923
Sc77Q5PCZjg832CWf,chi 2017,12,324.462,29.4965454545
7CwNGdoXD94vyibNv,chi 2017,69,2459.641,36.1711911765
Sc77Q5PCZjg832CWf,market street,48,7374.216,156.898212766
d8o7ogQZXrQweGAqH,market street,133,34666.896,262.628
Y9v6N4aDKfPY7XPec,market street,185,24779.252,134.669847826
nzxqK3PHZDMmfqAPt,chi 2017,41,1292.245,32.306125
7bpFZzN4SDWwtTTtv,maker faire,99,3945.316,40.2583265306
LH8obov9g2jn4xPrE,market street,2,20.635,20.635
DjqY48Yp3xpgyLkgj,maker faire,149,6209.764,41.9578648649
xFqSRCcfXFjjvnKZ2,chi 2017,16,423.418,28.2278666667
PP5CCom5XSbzXfYWw,maker faire,231,11719.689,50.9551695652
qCHiu2fA8Qa5skKZj,market street,215,27830.439,130.048780374
owpZkcaTTbM5yGEdd,market street,170,7194.631,42.5717810651
7J9RCc7cFYDsRQzpf,maker faire,87,3349.405,38.9465697674
BisoWka3JSjnNzZJs,maker faire,268,13221.131,49.5173445693
zL4PvMjzyDmDKyCrx,asian art museum,50,1957.769,39.9544693878
wpFuJxW7HrFg7wNYy,chi 2017,37,832.484,23.1245555556
X5APqdYtDz5KxJH7f,maker faire,147,6748.35,46.2215753425
rymkhYRCDei26p33q,chi 2017,29,1403.097,50.1106071429
bpTm4aB8RAi2qvB3G,market street,112,11620.745,104.691396396
3k8nyy8grNpaxv7Nz,asian art museum,1,0.0,None
YcAyxQg4QJZbkAgg7,maker faire,338,17425.575,51.7079376855
3k8nyy8grNpaxv7Nz,market street,64,9163.662,145.454952381
FHQ5hH6A2jnshZ9S8,chi 2017,2,0.221,0.221
B4jDTkB3bj28hoKzN,asian art museum,7,177.934,29.6556666667
ZJxSzJph2LE6inHwg,market street,240,33842.223,141.599259414
2FbZqoEDD7fsFBhmJ,asian art museum,22,692.236,32.9636190476
TqPKfipzAcY8vz7q5,asian art museum,2,2.507,2.507
PFgqadzeGB4YeaeoR,asian art museum,17,354.493,22.1558125
qNNjkg4KBt6RxuuoR,chi 2017,28,1221.861,45.2541111111
967Gb4n7iSDy8byS3,chi 2017,28,980.004,36.2964444444
curhpSNJhyzEghLse,maker faire,175,7284.294,41.8637586207
vdWxGzLyEnkgL8Xv5,asian art museum,6,108.06,21.612
ELJxiSALznMC3kx8t,market street,99,15680.967,160.009867347
BqkYrLifXqfzXod8C,maker faire,201,8395.31,41.97655
XkCS7aPMZZCpGZSFS,asian art museum,12,528.31,48.0281818182
PP5CCom5XSbzXfYWw,chi 2017,11,343.67,34.367
9MeqtY35kL5YT8k5T,asian art museum,15,459.32,32.8085714286
FtJ7ffv4XJbKQjzuh,market street,43,4953.233,117.934119048
w3FPzq2TfH5h6zj2A,chi 2017,15,1773.99,126.713571429
CpobSvi2XMA9pLge3,market street,9,644.524,80.5655
FtJ7ffv4XJbKQjzuh,asian art museum,2,31.675,31.675
pxH72ixM7248FCQe6,market street,24,3197.244,139.010608696
b7vqhek5JJa6mEDdm,asian art museum,2,17.343,17.343
k9s5pMKTpQhiRGutp,asian art museum,28,1095.364,40.569037037
questionId,location,totalCount,totalDuration,avgInterval
